block_id,season,date,ETa,ETo,Kc,NDVI
R1c,2023/2024,2024-01-28,2.994025336371528,5.592425028483073,,
R1c,2023/2024,2024-01-29,3.2940921783447266,6.15291002061632,,
R1c,2023/2024,2024-01-30,3.04853269788954,5.413961198594835,0.5630825890435113,0.5165748066372342
R1c,2023/2024,2024-01-31,3.577245076497396,6.352959526909722,,
R1c,2023/2024,2024-02-01,4.586339738633898,8.14497290717231,,
R1c,2023/2024,2024-02-02,3.9838443332248255,7.075120713975695,,
R1c,2023/2024,2024-02-03,3.065535227457682,5.444194793701172,,
R1c,2023/2024,2024-02-04,3.497922049628364,6.243343353271484,0.5602552625868056,0.4781522750854492
R1c,2023/2024,2024-02-05,3.2613805135091147,5.821126725938585,,
R1c,2023/2024,2024-02-06,2.776898490058051,4.956409454345703,,
R1c,2023/2024,2024-02-07,2.433067109849718,4.342738681369358,,
R1c,2023/2024,2024-02-08,2.8905402289496527,5.1592733595106335,,
R1c,2023/2024,2024-02-09,2.308670255872938,4.120662265353733,,
R1c,2023/2024,2024-02-10,3.182906680636936,5.6810302734375,,
R1c,2023/2024,2024-02-11,3.781249152289496,6.749117533365886,,
R1c,2023/2024,2024-02-12,3.868877834743924,6.905494266086155,,
R1c,2023/2024,2024-02-13,2.758447435167101,4.92348395453559,,
R1c,2023/2024,2024-02-14,2.3853967454698357,4.2576548258463545,,
R1c,2023/2024,2024-02-15,2.002442253960504,3.5740314059787326,,
R1c,2023/2024,2024-02-16,2.0882479349772134,3.727225833468967,,
R1c,2023/2024,2024-02-17,2.8420011732313366,5.0726195441352,,
R1c,2023/2024,2024-02-18,3.6619974772135415,6.536261664496528,,
R1c,2023/2024,2024-02-19,3.7293099297417536,7.0732532077365455,0.5272436141967773,0.5365218586391873
R1c,2023/2024,2024-02-20,2.7964619530571837,5.3039093017578125,,
R1c,2023/2024,2024-02-21,2.409529791937934,4.570101420084636,,
R1c,2023/2024,2024-02-22,2.771231757269965,5.256076812744141,,
R1c,2023/2024,2024-02-23,2.9087287055121527,5.516938951280382,,
R1c,2023/2024,2024-02-24,1.5855591032240126,3.0073329077826605,,
R1c,2023/2024,2024-02-25,2.019997066921658,3.83132086859809,,
R1c,2023/2024,2024-02-26,3.5239471859402127,6.68384763929579,,
R1c,2023/2024,2024-02-27,4.106201171875,7.7881579928927955,,
R1c,2023/2024,2024-02-28,3.9594938490125866,7.509869045681423,,
R1c,2023/2024,2024-02-29,3.512923346625434,6.602225409613715,0.53211334016588,0.5070285797119141
R1c,2023/2024,2024-03-01,2.874640782674154,5.402217017279731,,
R1c,2023/2024,2024-03-02,3.128176795111762,5.878656175401476,,
R1c,2023/2024,2024-03-03,2.7240392896864147,5.119198693169488,,
R1c,2023/2024,2024-03-04,0.7957873874240451,1.495496326022678,,
R1c,2023/2024,2024-03-05,1.799591276380751,3.2532662285698786,0.5531659126281738,0.620804574754503
R1c,2023/2024,2024-03-06,2.2411736382378478,4.051526387532552,,
R1c,2023/2024,2024-03-07,2.528562333848741,4.571152581108941,,
R1c,2023/2024,2024-03-08,1.8137770758734808,3.2789204915364585,,
R1c,2023/2024,2024-03-09,2.4474078284369574,4.424322340223524,,
R1c,2023/2024,2024-03-10,2.3829708099365234,4.798860761854384,0.4965689977010091,0.5903181499905057
R1c,2023/2024,2024-03-11,2.691720962524414,5.420612335205078,,
R1c,2023/2024,2024-03-12,1.8835440741644964,3.7931001451280384,,
R1c,2023/2024,2024-03-13,1.9364210764567056,3.899575551350912,,
